Model,Accuracy,Precision,Recall,F1 Score
"GCN (Task 04, required)",0.6926938666337469,0.5062847543666597,0.5337317070424309,0.5100048156399535
"GraphSAGE (Task 04, required)",0.6890109664012509,0.5072279776954816,0.5288217833221636,0.5079557890302431
Graph Transformer (Bonus A),0.6565849844659795,0.4601269330961859,0.49056176349968633,0.4611220745332753
Relational GNN / KG-style (Bonus B),0.6611526037487397,0.4786260972109141,0.5168337103701479,0.4853529596236351
Self-Supervised (DGI) + GCN (Bonus C),0.7037837170545028,0.5245814218097616,0.5442845065875795,0.5244350911716122
