Experiment,Learning Rate,Hidden,Dropout,Epochs,GCN Best Val Acc,GCN Best Val F1,GraphSAGE Best Val Acc,GraphSAGE Best Val F1
1,0.01,64,0.3,60,0.6892513171582939,0.49913036866605154,0.681029564750495,0.49287070742250305
2,0.005,128,0.3,60,0.6992516527400249,0.5140431132181267,0.6899895969663411,0.5081962484510301
3,0.005,256,0.5,60,0.7011980267794221,0.5213745429968458,0.6947548575455552,0.5172944437064813
4,0.005,256,0.3,60,0.7040169133192389,0.5296270401900799,0.69579516091144,0.5150692988136112
